Age Group,Gender,Occupation,Field of study or work,Average total screen time per day,Device used most frequently,Educational content (hours),Social Media (hours),Entertainment (hours),Online communication (hours),Work / Productivity apps (hours),Online shopping / browsing (hours),Use screen before sleep,Tried reducing screen time,Stress due to screen usage,Sleep affected by late use,Anxious without device,Compare with others,Lonely online,Tired after long screen,Eye strain or headache,Depression symptoms,Average sleep duration (hours),Sleep quality (1–5),Exercise frequency,Screen affects mental well-being,Feel addicted to devices,Try to limit screen time,Track screen time,Take regular breaks,Prioritize real-world activities,Screen time under control,Open to screen-health app,Helpful features,Preferred feedback method,Motivation to reduce screen time,Mental_Health_Status
35–44,Female,Student,IT,3–4 hours,Laptop/Desktop,1–2 hours,3–4 hours,5–6 hours,3–4 hours,Less than 1 hour,1–2 hours,Sometimes,Yes,2,1,3,2,3,1,4,5,7–8,4,Never,Yes,Yes,3,3,2,3,1,Yes,App lock timers,Weekly summary email,Better sleep,Healthy
18–24,Male,Student,Non-IT,3–4 hours,Smartphone,3–4 hours,3–4 hours,3–4 hours,Less than 1 hour,5–6 hours,Less than 1 hour,Rarely,Not sure,3,4,2,3,4,3,4,5,5–6,4,Never,Yes,Yes,5,3,4,3,2,Yes,Daily usage reports,Popup reminder,Improved mental health,Unhealthy
18–24,Male,Unemployed,Non-IT,More than 6 hours,Smartphone,1–2 hours,1–2 hours,5–6 hours,5–6 hours,More than 6 hours,1–2 hours,Never,No,2,3,5,4,2,5,2,3,6–7,4,3–4 days per week,Yes,Yes,5,3,4,5,1,No,Parental/family controls,App notification,Improved mental health,Healthy
25–34,Female,Self-employed,IT,3–4 hours,Smartphone,1–2 hours,5–6 hours,5–6 hours,3–4 hours,1–2 hours,1–2 hours,Often,No,4,5,5,3,3,1,4,5,6–7,4,3–4 days per week,Yes,No,5,4,5,5,5,Yes,Meditation or exercise suggestions,Weekly summary email,More free time,Healthy
45–54,Female,Unemployed,IT,5–6 hours,Laptop/Desktop,1–2 hours,More than 6 hours,Less than 1 hour,Less than 1 hour,3–4 hours,1–2 hours,Always,Yes,3,3,2,2,2,4,2,1,7–8,3,1–2 days per week,Yes,Yes,3,3,4,4,4,Yes,Meditation or exercise suggestions,App notification,More free time,Healthy
25–34,Female,Employed,IT,More than 6 hours,Smartphone,1–2 hours,3–4 hours,5–6 hours,3–4 hours,1–2 hours,1–2 hours,Often,Yes,5,5,3,2,5,3,4,3,7–8,4,Daily,Yes,Maybe,5,4,2,3,1,Maybe,Wellness tips/Reminders,App notification,Better focus,Unhealthy
25–34,Female,Student,IT,5–6 hours,Laptop/Desktop,3–4 hours,3–4 hours,3–4 hours,1–2 hours,1–2 hours,3–4 hours,Always,Maybe,5,4,2,4,2,5,3,5,More than 8,4,Never,Yes,Yes,2,4,5,2,1,Yes,Daily usage reports,Popup reminder,More free time,Unhealthy
18–24,Female,Employed,IT,1–2 hours,"Smartphone, Laptop/Desktop",5–6 hours,3–4 hours,More than 6 hours,5–6 hours,1–2 hours,Less than 1 hour,Sometimes,No,2,4,3,2,4,1,4,3,6–7,5,1–2 days per week,Yes,No,1,1,4,1,4,Yes,Parental/family controls,App notification,More free time,Healthy
25–34,Male,Employed,Non-IT,3–4 hours,Smartphone,1–2 hours,1–2 hours,3–4 hours,1–2 hours,5–6 hours,Less than 1 hour,Sometimes,Yes,4,1,1,3,5,4,1,3,7–8,5,Never,No,Yes,3,4,4,2,3,Yes,Parental/family controls,Dashboard view,Improved mental health,Unhealthy
55+,Male,Self-employed,IT,1–2 hours,Laptop/Desktop,5–6 hours,5–6 hours,More than 6 hours,5–6 hours,More than 6 hours,3–4 hours,Sometimes,Yes,1,2,4,3,2,4,3,3,5–6,3,3–4 days per week,Yes,No,5,5,5,3,4,Maybe,Daily usage reports,App notification,Better focus,Healthy
18–24,Male,Student,Non-IT,5–6 hours,Laptop/Desktop,3–4 hours,3–4 hours,5–6 hours,3–4 hours,More than 6 hours,Less than 1 hour,Sometimes,No,3,4,3,4,5,4,4,4,6–7,4,1–2 days per week,No,Yes,3,1,4,4,5,Yes,Meditation or exercise suggestions,Dashboard view,Better focus,Unhealthy
25–34,Female,Employed,IT,5–6 hours,Smartphone,1–2 hours,3–4 hours,1–2 hours,Less than 1 hour,1–2 hours,5–6 hours,Sometimes,Yes,4,1,5,4,5,5,2,3,5–6,1,3–4 days per week,No,Not sure,5,3,3,1,4,Yes,App lock timers,Weekly summary email,Better sleep,Unhealthy
35–44,Male,Student,IT,3–4 hours,Tablet,3–4 hours,5–6 hours,3–4 hours,More than 6 hours,5–6 hours,3–4 hours,Always,Maybe,4,5,2,5,5,5,4,4,6–7,4,3–4 days per week,No,Maybe,4,5,4,2,2,Maybe,Daily usage reports,Dashboard view,Better sleep,Unhealthy
25–34,Female,Student,IT,More than 6 hours,Smartphone,1–2 hours,3–4 hours,More than 6 hours,3–4 hours,3–4 hours,1–2 hours,Always,Yes,4,1,5,1,2,1,4,5,6–7,3,1–2 days per week,Maybe,No,2,3,3,2,4,Yes,Parental/family controls,App notification,Improved mental health,Healthy
25–34,Female,Employed,IT,5–6 hours,Laptop/Desktop,3–4 hours,3–4 hours,5–6 hours,1–2 hours,1–2 hours,More than 6 hours,Always,Yes,3,4,4,3,4,3,4,4,5–6,1,3–4 days per week,Yes,Yes,5,3,2,4,5,Yes,Daily usage reports,Dashboard view,Better focus,Unhealthy
25–34,Female,Employed,Non-IT,3–4 hours,Laptop/Desktop,3–4 hours,1–2 hours,1–2 hours,3–4 hours,Less than 1 hour,Less than 1 hour,Sometimes,No,3,3,2,3,4,3,3,2,5–6,3,Daily,No,No,1,5,4,4,4,Yes,Meditation or exercise suggestions,Weekly summary email,Improved mental health,Healthy
18–24,Male,Student,IT,5–6 hours,Laptop/Desktop,1–2 hours,5–6 hours,5–6 hours,5–6 hours,1–2 hours,1–2 hours,Always,No,2,4,3,2,5,3,3,5,Less than 5,4,1–2 days per week,Maybe,Maybe,5,2,2,4,4,No,Wellness tips/Reminders,Weekly summary email,Improved mental health,Healthy
18–24,Female,Student,IT,5–6 hours,Laptop/Desktop,1–2 hours,More than 6 hours,3–4 hours,1–2 hours,More than 6 hours,1–2 hours,Sometimes,No,4,4,2,3,2,3,4,3,Less than 5,2,1–2 days per week,Maybe,Yes,3,1,1,3,3,Yes,Wellness tips/Reminders,Dashboard view,Better focus,Unhealthy
35–44,Male,Employed,IT,1–2 hours,Smartphone,3–4 hours,3–4 hours,Less than 1 hour,1–2 hours,3–4 hours,1–2 hours,Rarely,No,3,3,3,3,4,3,3,2,Less than 5,5,3–4 days per week,Yes,No,3,5,1,3,3,Maybe,App lock timers,Weekly summary email,Better focus,Healthy
35–44,Female,Employed,IT,3–4 hours,Smartphone,More than 6 hours,More than 6 hours,3–4 hours,1–2 hours,3–4 hours,5–6 hours,Always,Not sure,4,2,3,3,3,3,4,1,5–6,1,3–4 days per week,Yes,Maybe,3,5,4,1,4,Maybe,App lock timers,Dashboard view,Better focus,Unhealthy
35–44,Male,Self-employed,IT,More than 6 hours,Laptop/Desktop,1–2 hours,1–2 hours,1–2 hours,1–2 hours,1–2 hours,Less than 1 hour,Often,No,2,1,4,4,2,5,3,4,5–6,5,Never,Yes,Maybe,2,3,3,2,5,Yes,Meditation or exercise suggestions,App notification,Better focus,Unhealthy
45–54,Male,Unemployed,IT,5–6 hours,Laptop/Desktop,5–6 hours,3–4 hours,5–6 hours,3–4 hours,3–4 hours,1–2 hours,Sometimes,Yes,3,4,3,3,3,1,2,2,5–6,4,1–2 days per week,No,Maybe,3,3,4,5,4,No,App lock timers,Weekly summary email,More free time,Healthy
25–34,Female,Employed,Non-IT,5–6 hours,"Smartphone, Laptop/Desktop",3–4 hours,3–4 hours,3–4 hours,3–4 hours,Less than 1 hour,1–2 hours,Often,No,3,3,5,4,4,5,2,2,More than 8,3,1–2 days per week,No,Maybe,2,5,3,5,4,Yes,Wellness tips/Reminders,Dashboard view,More free time,Healthy
25–34,Male,Student,IT,5–6 hours,"Smartphone, Laptop/Desktop",More than 6 hours,3–4 hours,5–6 hours,1–2 hours,1–2 hours,1–2 hours,Sometimes,Maybe,1,4,2,3,3,3,1,3,6–7,3,1–2 days per week,Yes,Not sure,2,4,3,4,2,Yes,Meditation or exercise suggestions,App notification,More free time,Healthy
25–34,Male,Employed,Non-IT,1–2 hours,"Smartphone, Laptop/Desktop",5–6 hours,3–4 hours,Less than 1 hour,1–2 hours,3–4 hours,Less than 1 hour,Often,No,3,3,5,3,3,4,3,3,5–6,4,Never,No,No,2,3,3,5,2,Yes,Meditation or exercise suggestions,Weekly summary email,Improved mental health,Healthy
25–34,Female,Employed,IT,3–4 hours,Laptop/Desktop,3–4 hours,3–4 hours,3–4 hours,1–2 hours,Less than 1 hour,1–2 hours,Often,Yes,5,3,2,3,5,5,4,4,6–7,4,Daily,No,No,3,1,4,4,3,Maybe,Meditation or exercise suggestions,Popup reminder,More free time,Unhealthy
25–34,Female,Student,IT,5–6 hours,Smartphone,3–4 hours,1–2 hours,1–2 hours,5–6 hours,5–6 hours,3–4 hours,Always,Maybe,5,3,4,1,3,3,4,5,7–8,4,3–4 days per week,Yes,Maybe,4,3,3,1,2,Yes,Daily usage reports,Weekly summary email,Better sleep,Unhealthy
25–34,Female,Self-employed,IT,3–4 hours,Tablet,5–6 hours,3–4 hours,1–2 hours,1–2 hours,1–2 hours,Less than 1 hour,Rarely,No,3,1,3,1,4,3,2,4,7–8,3,1–2 days per week,Maybe,No,4,5,5,5,4,Yes,App lock timers,App notification,Improved mental health,Healthy
35–44,Female,Student,IT,1–2 hours,Laptop/Desktop,1–2 hours,1–2 hours,1–2 hours,More than 6 hours,3–4 hours,3–4 hours,Sometimes,No,3,3,2,3,3,3,5,3,5–6,3,3–4 days per week,Maybe,Not sure,5,5,5,1,3,Yes,Parental/family controls,App notification,Better focus,Healthy
18–24,Female,Self-employed,IT,More than 6 hours,Smartphone,1–2 hours,5–6 hours,1–2 hours,3–4 hours,1–2 hours,1–2 hours,Often,Yes,1,5,5,5,3,3,3,2,6–7,5,Daily,Yes,Yes,4,5,5,4,4,Yes,Wellness tips/Reminders,Dashboard view,Better sleep,Healthy
18–24,Male,Employed,IT,More than 6 hours,"Smartphone, Laptop/Desktop",Less than 1 hour,1–2 hours,3–4 hours,1–2 hours,3–4 hours,3–4 hours,Often,Yes,5,5,3,4,4,5,5,5,7–8,2,Never,No,Yes,4,5,5,3,5,Yes,App lock timers,Popup reminder,Better focus,Unhealthy
18–24,Male,Employed,IT,More than 6 hours,"Smartphone, Laptop/Desktop",5–6 hours,1–2 hours,1–2 hours,5–6 hours,Less than 1 hour,3–4 hours,Sometimes,No,1,3,4,1,5,5,4,1,7–8,3,1–2 days per week,Yes,Yes,4,4,3,3,3,Yes,Wellness tips/Reminders,Popup reminder,Better focus,Healthy
25–34,Male,Employed,IT,More than 6 hours,Laptop/Desktop,5–6 hours,3–4 hours,3–4 hours,3–4 hours,Less than 1 hour,Less than 1 hour,Often,Yes,5,4,4,5,3,2,4,5,7–8,3,1–2 days per week,No,Yes,3,3,3,4,2,Yes,App lock timers,Weekly summary email,Improved mental health,Unhealthy
18–24,Female,Self-employed,IT,3–4 hours,Smartphone,1–2 hours,3–4 hours,3–4 hours,3–4 hours,More than 6 hours,1–2 hours,Always,No,3,5,3,4,4,2,1,2,7–8,4,3–4 days per week,Maybe,Yes,4,4,4,3,4,Yes,Parental/family controls,Weekly summary email,Better focus,Healthy
25–34,Female,Employed,Non-IT,More than 6 hours,Laptop/Desktop,3–4 hours,5–6 hours,5–6 hours,More than 6 hours,1–2 hours,3–4 hours,Always,No,3,3,3,4,1,3,2,5,7–8,4,Never,Maybe,Maybe,1,4,4,3,5,Yes,Wellness tips/Reminders,App notification,Better focus,Unhealthy
25–34,Male,Employed,IT,3–4 hours,"Smartphone, Laptop/Desktop",3–4 hours,3–4 hours,More than 6 hours,Less than 1 hour,5–6 hours,1–2 hours,Always,Yes,5,1,4,5,2,1,1,3,6–7,3,Daily,Yes,Yes,5,3,5,3,4,Yes,Parental/family controls,App notification,Improved mental health,Healthy
18–24,Female,Student,IT,More than 6 hours,"Smartphone, Laptop/Desktop",1–2 hours,3–4 hours,3–4 hours,Less than 1 hour,More than 6 hours,5–6 hours,Always,Not sure,1,1,1,3,3,4,4,3,6–7,1,1–2 days per week,Yes,Maybe,4,1,4,3,1,Maybe,Wellness tips/Reminders,App notification,Better focus,Unhealthy
25–34,Female,Employed,IT,More than 6 hours,Smartphone,More than 6 hours,5–6 hours,3–4 hours,3–4 hours,1–2 hours,1–2 hours,Often,Maybe,4,3,4,2,1,2,3,4,6–7,1,1–2 days per week,Yes,No,2,5,5,5,1,Maybe,Daily usage reports,App notification,Improved mental health,Unhealthy
18–24,Male,Student,IT,5–6 hours,Smartphone,1–2 hours,3–4 hours,1–2 hours,1–2 hours,1–2 hours,Less than 1 hour,Always,Maybe,3,5,5,3,3,3,4,4,7–8,3,1–2 days per week,No,Yes,4,3,3,4,3,Yes,Daily usage reports,Dashboard view,More free time,Healthy
18–24,Female,Employed,IT,More than 6 hours,"Smartphone, Laptop/Desktop",Less than 1 hour,1–2 hours,More than 6 hours,1–2 hours,3–4 hours,1–2 hours,Sometimes,Yes,2,4,1,3,3,1,3,3,Less than 5,3,Never,Yes,Yes,1,3,5,3,2,Yes,Wellness tips/Reminders,Dashboard view,Better sleep,Healthy
35–44,Female,Employed,IT,5–6 hours,Laptop/Desktop,3–4 hours,3–4 hours,1–2 hours,Less than 1 hour,More than 6 hours,5–6 hours,Sometimes,Yes,3,1,2,3,1,3,5,4,More than 8,5,3–4 days per week,No,No,2,4,4,2,5,Maybe,Wellness tips/Reminders,Weekly summary email,Better focus,Healthy
18–24,Female,Employed,IT,3–4 hours,Laptop/Desktop,5–6 hours,More than 6 hours,1–2 hours,Less than 1 hour,More than 6 hours,1–2 hours,Sometimes,No,4,2,4,4,3,4,2,4,5–6,3,Daily,Yes,Maybe,1,4,4,5,5,No,Parental/family controls,Popup reminder,Better focus,Unhealthy
18–24,Male,Student,IT,5–6 hours,"Smartphone, Laptop/Desktop",Less than 1 hour,3–4 hours,1–2 hours,3–4 hours,3–4 hours,3–4 hours,Often,Yes,4,4,3,5,3,3,2,1,6–7,3,1–2 days per week,Yes,Maybe,4,2,3,2,3,Yes,Meditation or exercise suggestions,Popup reminder,Better focus,Healthy
25–34,Female,Student,IT,5–6 hours,Smartphone,3–4 hours,1–2 hours,3–4 hours,1–2 hours,5–6 hours,3–4 hours,Sometimes,Not sure,1,5,3,5,4,5,3,1,7–8,5,Daily,Yes,Maybe,4,5,4,2,3,Yes,Wellness tips/Reminders,Weekly summary email,Improved mental health,Healthy
25–34,Female,Employed,IT,1–2 hours,Laptop/Desktop,3–4 hours,1–2 hours,1–2 hours,3–4 hours,Less than 1 hour,1–2 hours,Always,Yes,5,4,2,5,5,5,3,3,5–6,3,3–4 days per week,Maybe,Not sure,5,3,5,3,2,Yes,App lock timers,Weekly summary email,Better sleep,Unhealthy
18–24,Female,Student,IT,5–6 hours,Smartphone,1–2 hours,1–2 hours,5–6 hours,3–4 hours,More than 6 hours,Less than 1 hour,Sometimes,No,2,4,3,5,4,3,3,2,6–7,4,1–2 days per week,No,No,1,2,2,5,5,Yes,App lock timers,App notification,Improved mental health,Healthy
25–34,Female,Student,IT,More than 6 hours,Laptop/Desktop,1–2 hours,3–4 hours,1–2 hours,1–2 hours,More than 6 hours,3–4 hours,Rarely,No,2,1,2,5,3,1,4,4,5–6,1,3–4 days per week,Yes,Not sure,3,3,4,2,3,Yes,App lock timers,Weekly summary email,Improved mental health,Unhealthy
18–24,Female,Student,IT,3–4 hours,"Smartphone, Laptop/Desktop",3–4 hours,3–4 hours,3–4 hours,Less than 1 hour,1–2 hours,1–2 hours,Often,No,3,5,3,1,5,5,1,2,6–7,3,1–2 days per week,Yes,Maybe,4,4,3,2,4,Maybe,Daily usage reports,App notification,Better focus,Healthy
18–24,Female,Unemployed,Non-IT,More than 6 hours,Laptop/Desktop,1–2 hours,1–2 hours,1–2 hours,3–4 hours,1–2 hours,3–4 hours,Rarely,Yes,1,4,4,3,4,5,3,3,5–6,5,1–2 days per week,No,Maybe,2,5,5,3,3,Yes,Parental/family controls,App notification,Better focus,Healthy
25–34,Male,Employed,IT,More than 6 hours,"Smartphone, Laptop/Desktop",More than 6 hours,More than 6 hours,1–2 hours,Less than 1 hour,Less than 1 hour,1–2 hours,Rarely,No,2,3,3,3,2,5,5,2,6–7,4,Never,Yes,Yes,4,5,3,3,4,No,Daily usage reports,Popup reminder,Improved mental health,Healthy
25–34,Female,Student,IT,More than 6 hours,Laptop/Desktop,5–6 hours,5–6 hours,More than 6 hours,3–4 hours,1–2 hours,1–2 hours,Sometimes,Yes,5,4,3,5,2,2,1,3,6–7,3,3–4 days per week,No,Not sure,1,5,2,4,3,Maybe,App lock timers,App notification,Improved mental health,Healthy
25–34,Female,Student,IT,More than 6 hours,Smartphone,More than 6 hours,3–4 hours,1–2 hours,5–6 hours,5–6 hours,3–4 hours,Often,Maybe,3,2,5,3,4,5,5,2,More than 8,4,Never,Maybe,No,2,2,3,3,3,No,Wellness tips/Reminders,App notification,More free time,Healthy
25–34,Male,Student,Non-IT,5–6 hours,Smartphone,1–2 hours,5–6 hours,5–6 hours,1–2 hours,1–2 hours,1–2 hours,Often,Yes,2,1,4,4,4,3,5,1,More than 8,5,3–4 days per week,No,Maybe,3,1,4,3,4,Maybe,App lock timers,Weekly summary email,Improved mental health,Healthy
55+,Female,Employed,IT,More than 6 hours,Laptop/Desktop,More than 6 hours,1–2 hours,3–4 hours,3–4 hours,Less than 1 hour,1–2 hours,Always,Not sure,2,2,5,2,4,4,1,1,5–6,3,3–4 days per week,No,Yes,4,4,1,2,4,Maybe,Wellness tips/Reminders,Weekly summary email,Improved mental health,Healthy
25–34,Female,Employed,IT,More than 6 hours,Laptop/Desktop,3–4 hours,3–4 hours,1–2 hours,3–4 hours,1–2 hours,1–2 hours,Often,Maybe,4,2,3,3,4,5,3,5,7–8,4,Never,No,Yes,2,3,4,2,3,Yes,Parental/family controls,App notification,Improved mental health,Unhealthy
18–24,Female,Student,IT,3–4 hours,Smartphone,1–2 hours,3–4 hours,More than 6 hours,1–2 hours,More than 6 hours,1–2 hours,Often,Yes,5,3,4,4,4,2,3,2,5–6,5,1–2 days per week,Maybe,Yes,2,5,5,5,2,Maybe,Meditation or exercise suggestions,App notification,Improved mental health,Healthy
25–34,Female,Student,IT,5–6 hours,Laptop/Desktop,Less than 1 hour,5–6 hours,1–2 hours,5–6 hours,3–4 hours,1–2 hours,Sometimes,Maybe,3,3,1,2,5,5,4,4,Less than 5,2,1–2 days per week,Maybe,Yes,2,4,5,5,3,No,Wellness tips/Reminders,Popup reminder,Better focus,Unhealthy
18–24,Male,Student,IT,5–6 hours,Laptop/Desktop,Less than 1 hour,5–6 hours,5–6 hours,5–6 hours,1–2 hours,3–4 hours,Sometimes,Yes,1,3,2,3,3,3,4,1,5–6,4,1–2 days per week,No,Yes,2,5,1,2,3,Yes,Daily usage reports,App notification,Better focus,Healthy
18–24,Other,Employed,IT,3–4 hours,Laptop/Desktop,3–4 hours,1–2 hours,1–2 hours,1–2 hours,1–2 hours,1–2 hours,Always,Not sure,2,3,2,3,2,5,4,2,More than 8,4,1–2 days per week,Yes,Maybe,2,3,5,2,4,No,App lock timers,Dashboard view,More free time,Healthy
18–24,Female,Employed,Non-IT,5–6 hours,Laptop/Desktop,3–4 hours,More than 6 hours,5–6 hours,3–4 hours,More than 6 hours,1–2 hours,Rarely,No,1,3,3,3,5,3,4,3,More than 8,4,1–2 days per week,Yes,Yes,3,3,4,1,5,No,App lock timers,Weekly summary email,Improved mental health,Healthy
18–24,Male,Student,IT,5–6 hours,Laptop/Desktop,1–2 hours,1–2 hours,Less than 1 hour,5–6 hours,5–6 hours,1–2 hours,Never,No,2,1,5,4,3,5,2,3,5–6,3,1–2 days per week,Yes,Yes,4,3,2,4,1,Maybe,App lock timers,Weekly summary email,Improved mental health,Healthy
45–54,Female,Student,Non-IT,3–4 hours,Smartphone,3–4 hours,5–6 hours,3–4 hours,More than 6 hours,1–2 hours,Less than 1 hour,Always,No,3,4,3,3,4,1,5,5,5–6,3,Never,No,Yes,3,2,1,4,2,Yes,Wellness tips/Reminders,App notification,Improved mental health,Healthy
35–44,Female,Student,Non-IT,5–6 hours,Smartphone,1–2 hours,More than 6 hours,5–6 hours,3–4 hours,Less than 1 hour,Less than 1 hour,Often,Yes,2,3,4,4,5,4,4,5,5–6,4,Never,No,No,4,4,2,3,2,Yes,Parental/family controls,Dashboard view,Improved mental health,Unhealthy
25–34,Female,Unemployed,IT,More than 6 hours,Laptop/Desktop,3–4 hours,1–2 hours,More than 6 hours,3–4 hours,Less than 1 hour,5–6 hours,Rarely,Not sure,3,3,4,1,4,3,4,4,6–7,2,Never,Yes,Yes,4,3,5,4,3,Yes,Wellness tips/Reminders,Dashboard view,Improved mental health,Unhealthy
18–24,Female,Student,IT,5–6 hours,Laptop/Desktop,1–2 hours,5–6 hours,More than 6 hours,1–2 hours,Less than 1 hour,3–4 hours,Sometimes,Yes,3,5,4,5,4,3,5,4,6–7,3,3–4 days per week,Yes,Yes,2,3,1,4,3,Yes,Daily usage reports,App notification,Improved mental health,Healthy
18–24,Male,Employed,IT,1–2 hours,Smartphone,5–6 hours,Less than 1 hour,5–6 hours,More than 6 hours,3–4 hours,1–2 hours,Always,No,5,4,3,3,3,2,4,3,5–6,2,Daily,Yes,No,1,3,2,5,4,Yes,App lock timers,App notification,Improved mental health,Unhealthy
18–24,Male,Employed,IT,1–2 hours,"Smartphone, Laptop/Desktop",5–6 hours,3–4 hours,5–6 hours,1–2 hours,More than 6 hours,1–2 hours,Always,No,5,5,4,4,3,4,2,3,7–8,1,1–2 days per week,Maybe,No,5,1,4,1,2,Yes,Wellness tips/Reminders,App notification,Better focus,Unhealthy
18–24,Male,Student,IT,5–6 hours,Tablet,3–4 hours,3–4 hours,1–2 hours,3–4 hours,3–4 hours,Less than 1 hour,Often,Not sure,4,3,3,4,3,2,3,5,6–7,5,1–2 days per week,No,Yes,1,3,4,2,4,Maybe,App lock timers,Dashboard view,Improved mental health,Unhealthy
25–34,Female,Student,Non-IT,More than 6 hours,Laptop/Desktop,1–2 hours,3–4 hours,1–2 hours,1–2 hours,5–6 hours,1–2 hours,Often,Yes,3,2,1,2,4,4,3,4,More than 8,3,Never,No,Yes,2,3,4,1,5,Yes,Daily usage reports,Weekly summary email,Improved mental health,Unhealthy
25–34,Male,Student,Non-IT,3–4 hours,Smartphone,1–2 hours,More than 6 hours,1–2 hours,1–2 hours,1–2 hours,1–2 hours,Often,No,3,4,5,5,4,3,1,4,7–8,5,1–2 days per week,Yes,Yes,1,1,4,5,5,Yes,Meditation or exercise suggestions,App notification,Improved mental health,Healthy
25–34,Male,Employed,IT,5–6 hours,Tablet,5–6 hours,5–6 hours,3–4 hours,1–2 hours,3–4 hours,1–2 hours,Always,No,3,2,2,4,4,5,5,2,6–7,2,Never,No,Not sure,4,3,1,4,5,Yes,Meditation or exercise suggestions,App notification,Improved mental health,Unhealthy
18–24,Male,Employed,IT,3–4 hours,Laptop/Desktop,1–2 hours,3–4 hours,3–4 hours,More than 6 hours,3–4 hours,1–2 hours,Always,Maybe,4,3,1,3,2,1,2,1,7–8,4,3–4 days per week,Yes,Yes,4,3,5,4,4,Yes,Meditation or exercise suggestions,Weekly summary email,Better focus,Healthy
45–54,Female,Employed,Non-IT,3–4 hours,Tablet,1–2 hours,5–6 hours,3–4 hours,Less than 1 hour,1–2 hours,Less than 1 hour,Sometimes,Yes,3,1,5,2,3,2,4,5,7–8,2,Daily,No,No,5,3,2,1,5,Yes,App lock timers,Dashboard view,Improved mental health,Unhealthy
25–34,Female,Employed,Non-IT,More than 6 hours,Tablet,Less than 1 hour,More than 6 hours,1–2 hours,3–4 hours,1–2 hours,Less than 1 hour,Always,Yes,5,5,3,5,4,2,3,3,5–6,4,Never,Yes,Yes,5,2,4,3,2,Yes,Wellness tips/Reminders,Weekly summary email,Improved mental health,Healthy
25–34,Male,Student,Non-IT,5–6 hours,"Smartphone, Laptop/Desktop",3–4 hours,Less than 1 hour,5–6 hours,Less than 1 hour,3–4 hours,5–6 hours,Sometimes,Yes,5,2,4,4,3,3,1,3,6–7,4,3–4 days per week,Yes,No,3,3,4,3,2,Yes,App lock timers,App notification,Improved mental health,Unhealthy
25–34,Male,Unemployed,IT,1–2 hours,Laptop/Desktop,3–4 hours,More than 6 hours,1–2 hours,1–2 hours,Less than 1 hour,1–2 hours,Sometimes,Maybe,3,5,3,2,3,2,5,2,More than 8,2,Never,Yes,Yes,3,4,2,4,1,Yes,Parental/family controls,App notification,Improved mental health,Unhealthy
18–24,Female,Employed,IT,5–6 hours,Smartphone,5–6 hours,1–2 hours,3–4 hours,1–2 hours,1–2 hours,1–2 hours,Often,Yes,4,5,3,3,4,3,5,5,5–6,5,1–2 days per week,Yes,Yes,3,4,5,3,4,Yes,Wellness tips/Reminders,Weekly summary email,More free time,Unhealthy
18–24,Female,Student,IT,1–2 hours,Laptop/Desktop,1–2 hours,5–6 hours,3–4 hours,3–4 hours,3–4 hours,Less than 1 hour,Often,No,1,3,3,5,4,5,3,1,Less than 5,2,Never,Maybe,No,2,5,3,1,5,Yes,Daily usage reports,App notification,Better sleep,Unhealthy
18–24,Male,Unemployed,IT,5–6 hours,Laptop/Desktop,1–2 hours,1–2 hours,5–6 hours,1–2 hours,More than 6 hours,Less than 1 hour,Always,Yes,2,4,3,4,3,4,2,5,6–7,4,1–2 days per week,Yes,Yes,2,3,1,4,2,Yes,Meditation or exercise suggestions,Dashboard view,Improved mental health,Unhealthy
25–34,Female,Employed,IT,5–6 hours,Laptop/Desktop,5–6 hours,1–2 hours,5–6 hours,1–2 hours,3–4 hours,3–4 hours,Rarely,Maybe,3,4,3,4,5,4,2,2,7–8,5,Never,Yes,Yes,2,3,5,3,4,Yes,Wellness tips/Reminders,Weekly summary email,Better focus,Healthy
18–24,Male,Employed,IT,3–4 hours,Smartphone,5–6 hours,3–4 hours,3–4 hours,Less than 1 hour,5–6 hours,1–2 hours,Often,Not sure,2,5,4,3,2,1,3,5,7–8,5,1–2 days per week,No,No,2,5,4,3,4,Yes,Wellness tips/Reminders,App notification,Improved mental health,Healthy
18–24,Male,Employed,IT,3–4 hours,Smartphone,1–2 hours,3–4 hours,1–2 hours,1–2 hours,1–2 hours,1–2 hours,Always,No,5,3,3,4,5,4,3,4,More than 8,5,1–2 days per week,Maybe,Not sure,2,3,4,2,5,Maybe,Meditation or exercise suggestions,Weekly summary email,Improved mental health,Unhealthy
18–24,Female,Self-employed,IT,5–6 hours,"Smartphone, Laptop/Desktop",3–4 hours,3–4 hours,3–4 hours,More than 6 hours,5–6 hours,Less than 1 hour,Always,No,2,4,5,3,2,2,3,2,6–7,3,1–2 days per week,Yes,Yes,3,4,3,5,4,No,Daily usage reports,Dashboard view,Improved mental health,Healthy
18–24,Male,Employed,IT,More than 6 hours,Laptop/Desktop,1–2 hours,1–2 hours,1–2 hours,5–6 hours,3–4 hours,3–4 hours,Sometimes,Yes,3,3,1,2,1,4,5,4,5–6,2,3–4 days per week,No,No,5,3,5,4,5,Yes,App lock timers,Weekly summary email,More free time,Unhealthy
35–44,Female,Student,IT,More than 6 hours,"Smartphone, Laptop/Desktop",More than 6 hours,3–4 hours,3–4 hours,1–2 hours,5–6 hours,Less than 1 hour,Sometimes,Yes,4,5,3,4,5,3,4,3,6–7,2,Daily,Maybe,Not sure,4,3,1,5,3,Yes,App lock timers,Dashboard view,Improved mental health,Unhealthy
